sentence,label
"Moreover, the Central Bank’s continuous financial sector oversight and adoption of appropriate 
regulatory measures along with effective communication ensured financial system stability amidst severe 
socio-economic distress.",Monetary Policy
"The Government initiated measures in early 2022 to seek assistance from the International Monetary 
Fund (IMF) after months of indecisiveness.",International Trade
"The IMF had already assessed that Sri Lanka’s public debt had reached unsustainable levels, hence, any funding assistance from the IMF needed to be preceded by efforts to restructure public debt.",Fiscal Policy
"Subsequently, when it reached a critical point of inability to service debt payments, the 
Government announced a debt standstill in mid-April 2022, thereby suspending the servicing of external debt, 
mainly bilateral and commercial debt, as an interim measure, while soliciting support from official and private 
creditors to restructure outstanding debt.",Fiscal Policy
"Simultaneously, several initiatives were made by the Government 
to enhance government revenue, curtail expenditure, introduce reforms to major State Owned Enterprises 
(SOE), implement import controls, and ration energy supply, while exploring bridging finance from bilateral and multilateral partners for essential expenditures as well as supporting the most vulnerable segments.",Fiscal Policy
"In September 2022, a staff level agreement was reached for an Extended Fund Facility (EFF) from the IMF, followed by efforts to secure financing assurances from official creditors towards the restructuring of debt, in line with the debt sustainability targets envisaged under the IMF-EFF supported programme.",Fiscal Policy
"In March 
2023, the Executive Board of the IMF approved the EFF supported programme of 48-months, amounting to 
approximately US dollars 3 billion, along with an economic adjustment programme that was aimed at putting  
Sri Lanka back on a recovery path, while addressing structural impediments that constrained the country’s growth potential over the past decades.",Fiscal Policy
"With a multitude of goals to be achieved under the IMF-EFF arrangement, restoring public debt sustainability through the debt restructuring process will be one of the key milestones in the path towards attaining a sustained growth in the economy.",Fiscal Policy
"However, debt restructuring could pose near term challenges in the financial sector that need to be addressed proactively by the Government and Central Bank, thereby reinforcing the financial system stability in the period ahead.",Fiscal Policy
Policy measures and reforms implemented by the Government and the Central Bank have yielded notable success thus far.,Monetary Policy
"Inflation returned to an impressive disinflation path following a historic peak in September 2022, and the exchange rate remained stable and registered an appreciation in early 2023, having depreciated sharply during the first half of 2022.",Monetary Policy
"Further, the external current account deficit remained modest alongside the gradual accumulation of official reserves, thereby enabling the reinstatement of exchange rate flexibility 
from early March 2023.",Exchange Rates
"The envisaged normalisation of foreign exchange flows and the completion of the debt 
restructuring process during 2023, and the sweeping reforms in the public sector, are expected to pave way for the country’s progress towards improved and sustainable economic prospects.",Fiscal Policy
"The socio-economic crisis in 2022 underlined many lessons that the country failed to grasp, despite 
the recurrence of such macroeconomic failures throughout its post-independence history.",Fiscal Policy
"This economic episode reiterated the essentiality of data-driven policymaking; devastating implications of ad hoc policy experiments; crippling welfare impacts of myopic populist policies; and the cost of policy delays, disregarding  
evidence-based policy analysis, well-established economic fundamentals and expert opinions.",Fiscal Policy
The general public and businesses at large had to bear the cost of a one-time adjustment of delayed structural reforms.,Fiscal Policy
"Against this backdrop, the Government, the Central Bank, and all other stakeholders need to extend their support towards the implementation of essential reforms at this juncture, to resolve the structural hindrances that have rooted in the economy over the last seven and a half decades.",Fiscal Policy
"Failing to execute such reforms would lead to perpetual bailouts, endless cycles of external borrowing and recurring debt restructuring alongside unsustainable and highly volatile business cycles, which would cause undue pressure on citizenry, preventing 
the country from achieving longstanding economic progress and prosperity.",Fiscal Policy
"Hence, in the country’s efforts 
to emerge from the current crisis, consistent and well-coordinated policies, including those outlined in the  
IMF-EFF supported programme, should be executed in a timely manner to avert another crisis in the period 
ahead.",Fiscal Policy
"3
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1Figure 1.1
The Socio-Economic Crisis in 2022, Policy Actions and Outcomes Towards Restoring Stability
Significant tightening of monetary policy
Credible  and
transpare nt policy
measure s preve nted
further worsening of
the crisis and restored
socio-economic
stabilityStabilising the exchange rate
through market guidance 
Supply of forex foressentials 
Strengthening social
safety netsImport restrictions/margindeposit requirements Forex and rupee liquidity management
SOE reformsContinuous financialsector oversightAnnouncement of the debt standstill and
commencing debt restructuring
Substantial fiscal
tighteningNegotiating an IMF-EFF
ArrangementBan on the 
importation of
non-organic fertiliserIncreased mo netary
financingUnsustainable
public debt Falling tax 
revenueIncrea se of glob al
food and energy 
prices Rating downgrades
and limited access to
foreign financing  
Near-zero level of 
usable off icial reserves High inflation
and de-anchored
inflation
expectations Low GDP grow th
over several years
Market
determined
exchange rateDecele rating
inflation and
anchoring
inflation
expecta tionsOfficial
reser ve
build upImproving
primary
balanceDomestic and forex
marke t liquidity
pressures   
  Substantially 
increa sed infl ation
adjusted poverty line
IMF Execut ive
Board
approval for
the EFF in
March 2023Advancing the
debt restruct uring
processImproving
current
accou nt and
trade  balanceDeclining
interest
rate risk 
premia Financial 
sector 
stabili ty
Low earnings from
tourism and wo rkers’ 
remittances Misaligned
exchange rate
Persistent Twin Deficits
External
Current Ac count
Budget
Deficit
BOP
Sovereign
debt crisis Dual crises
+BOP
crisis Heightened social unrest
and political upheaval
Power cuts, fu el and 
gas shortages
Scarcity of
essential items
Positi ve GDP
growth expected
towards late 2023 
FERTILISER
The outcomes of coordinated policy actions have eventuated since late 2022,
and the country managed to transition to a workable equilibrium until the assistance
from the international financial institutions begins to materialise.",Unclassified
"20 0.43
End Dec-21End Dec-22
Exchange Rate 
(Rs./US$)Rs.",Exchange Rates
"363.11
End Mar-23Daily market guidance
Rs.",Exchange Rates
"327.29
3.012.1
Dec-21
Jan-2169.8
Sep-22 50.3
Mar-23",Exchange Rates
"in 2022, the Sri lankan economy registered 
its deepest economic contraction since 
independence, mainly driven by the ripple effects of the unprecedented economic crisis 
amidst the domestic and global headwinds that 
reversed the post-pandemic recovery.",GDP Growth
"As per the 
provisional estimates of the Department of Census and Statistics (DCS), the real GDP contracted by 7.8 per cent in 2022, compared to the growth of 3.5 
per cent in 2021.",GDP Growth
"Longstanding macroeconomic 
weaknesses, characterised by deeply entrenched 
twin deficits, due to persistent budget deficits 
and external current account deficits, worsened during 2022, reflecting the impact of policy delays in addressing these imbalances over the years, 
particularly in recent years, amidst ill-timed and 
ill-equipped reforms in taxation and agricultural 
policies, among others.",Fiscal Policy
"Acute fuel shortages due to the dearth of foreign exchange caused a significant drag on activities, as a result of hampered supply 
chains, prolonged power outages, scarcity of raw 
materials amidst imports compression, and a surge 
in the cost of production.",International Trade
"Further, significant upward 
revisions in major utility prices amidst soaring global energy prices and the depreciation of the 
exchange rate exacerbated supply side pressures, 
while accelerated inflation and tax hikes affected the disposable income of households.",Inflation
"Against this 
backdrop, the Government and the Central Bank 
initiated several containment and remedial policy 
measures aimed at preempting a major economic 
catastrophe that would otherwise have occurred, leading to hyperinflation and depression in the Table 1.1
Macroeconomic Performance (2018-2022)
Indicator Unit 2018 2019 2020 2021 (a) 2022 (b)
Real Sector (c)
Real GDP Growth % 2.3 -0.2 -4.6 3.5 (b) -7.8
GDP at Current Market Price Rs.",Inflation
(d) Based on quarterly GDP in US$ terms calculated using quarterly average exchange rate from 2015 onwards.,Fiscal Policy
"(e) According to the Ministry of Finance, the fiscal sector statistics of 2019 have been restated as announced in the 
Budget Speech for 2020.",Fiscal Policy
"(f)   Includes Treasury bonds of Rs.78,441 million issued to the Ceylon Petroleum Corporation (CPC) in January 2012 of which  
Rs.21,778 million matured on  01 January 2017 and Rs. 25,217 million matured on 01 January 2022 and the current outstanding is Rs. 25,217 million matured on 01 January 2022 and the current outstanding is Rs.25,217 million matured on 01 January 2022 and the current outstanding is Rs.31,446 million.",Fiscal Policy
"(g) The outstanding central government debt excludes several debt service payments that became overdue after  
12 April 2022, the date on which the Interim Policy regarding the servicing of Sri Lanka’s external public debt was announced by the Ministry of Finance, Economic Stabilisation and National Policies.",Fiscal Policy
These debt service payments comprise overdue interest payments of affected debt which deemed to be capitalised as per the Interim Policy and several overdue interest payments in relation to Sri Lanka Development Bonds.,Fiscal Policy
(h) Year-on-year growth based on end year values.,Unclassified
"(i)  Based on the CCPI (2013=100)Sources: Department of Census and Statistics
Ministry of Finance, Economic   
 Stabilisation and National PoliciesCentral Bank of Sri Lanka",Inflation
"5
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1economy.",Unclassified
"The significant monetary policy tightening 
measures, along with the other measures to contain the balance of payments (BOP) pressures, and the unprecedented fiscal reforms in taxation and utility prices, along with the fuel rationing system, among others, helped contain demand side related excessive price pressures, improve foreign exchange liquidity conditions, minimise external and fiscal sector stresses, support economic activity, 
and steer the economy towards stability, albeit with 
some significant adjustment costs in the near term.",Monetary Policy
"Meanwhile, the Government sought assistance from the IMF for a funding arrangement and announced a debt standstill as an interim measure, pending negotiations on debt restructuring with bilateral and commercial creditors.",Fiscal Policy
"These swift and remedial measures of the Government and Central Bank helped contain the fall of economic activity and instil 
confidence in the economy.",Monetary Policy
"real economy witnessed a broad-based 
contraction in 2022, reversing the post-
pandemic recovery in 2021.",GDP Growth
"The agriculture sector, which had been experiencing lacklustre 
performances since 2019, contracted by 4.6 per cent  
in 2022, compared to a year earlier.",GDP Growth
"This mainly  
reflected the severe shortages in chemical fertiliser  
and other agrochemicals, increased cost of raw 
materials, as well as the disruptions of supply  
networks.",Inflation
"The subsectors of growing of rice, tea, vegetables, animal production, and marine fishing 
and marine aquaculture largely contributed to the  Figure 1.2
Activity-wise Contribution to GDP Growth
Source: Department of Census and StatisticsAgriculture Industries Services Taxes less Subsidies GDP Growth -20-16-12-8-40481216
Q1-19
Q2-19
Q3-19
Q4-19
Q1-20
Q2-20
Q3-20
Q4-20
Q1-21
Q2-21
Q3-21
Q4-21
Q1-22
Q2-22
Q3-22
Q4-22Per cent
Table 1.2
Gross National Income by Industrial Origin at Constant (2015) Prices (a)(b)
Rs.",GDP Growth
"billionAs a percentage of GDP Growth Contribution to Growth
Economic Activity (%) (%)  (%)
2021(c) 2022 2021(c) 2022 2021(c) 2022 2021(c) 2022
Agriculture, Forestry & Fishing  949.9  906.5 7.3 7.5 0.9 -4.6 0.1 -0.3
Agriculture and Forestry  812.4  783.4 6.2 6.5 0.8 -3.6 0.1 -0.2
Fishing  137.6  123.1 1.1 1.0 1.5 -10.5 0.0 -0.1
Industries  3,937.9  3,309.8 30.2 27.5 5.7 -16.0 1.7 -4.8
Mining and Quarrying  288.0  198.7 2.2 1.7 1.4 -31.0 0.0 -0.7
Manufacturing  2,247.2  1,963.3 17.2 16.3 7.4 -12.6 1.2 -2.2
Electricity, Gas, Water and Waste Treatment  230.0  220.0 1.8 1.8 2.2 -4.3 0.0 -0.1
Construction  1,172.8  927.7 9.0 7.7 4.4 -20.9 0.4 -1.9
Services  7,414.3  7,265.1 56.9 60.5 3.5 -2.0 2.0 -1.1
Wholesale and Retail Trade, Transportation  
and Storage, and Accommodation
and Food Service Activities  3,149.8  3,230.3 24.2 26.9 1.3 2.6 0.3 0.6
Information and Communication  421.8  415.9 3.2 3.5 18.0 -1.4 0.5 0.0
Financial, Insurance and Real Estate Activities 
including Ownership of Dwellings  1,375.3  1,163.3 10.5 9.7 7.5 -15.4 0.8 -1.6
Professional Services and Other Personal 
Service Activities  1,294.6  1,286.3 9.9 10.7 1.8 -0.6 0.2 -0.1
Public Administration, Defence, Education, 
Human Health and Social Work Activities  1,172.8  1,169.4 9.0 9.7 2.2 -0.3 0.2 0.0
Gross Value Added at Basic Price  12,302.1  11,481.4 94.4 95.5 4.0 -6.7 3.7 -6.3
Taxes less Subsidies on products  735.9  536.5 5.6 4.5 -3.6 -27.1 -0.2 -1.5
Gross Domestic Product at Market Price  13,037.9  12,017.8 100.0 100.0 3.5 -7.8 3.5 -7.8
Net Primary Income from Rest of the World -294.1 -304.2 12.6 -3.5
Gross National Income at Market Price  12,743.8  11,713.6 4.0 -8.1
(a) Based on the GDP estimates (base year 2015)  
(b) Provisional
(c) Revised  Source: Department of Census and Statistics",GDP Growth
"6
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1overall contraction in the agriculture sector, while 
growing of oleaginous fruit and forestry, and logging recorded growths during the year.",GDP Growth
"In 2022, the industry sector contracted notably by 16.0 per cent, year-on-year, primarily due to the dampened performance of the construction and manufacturing subsectors amidst severe shortages in raw materials and input cost escalations.",GDP Growth
The energy crisis and tighter monetary conditions also weighed on the performance of the industry subsectors.,Monetary Policy
"The construction subsector, which accounted for  
28.0 per cent of the industry sector, registered a  
year-on-year contraction of 20.9 per cent, while overall manufacturing activities, which accounted for about 59 per cent in the total industry sector, contracted by 12.6 per cent, year-on-year, in 2022.",GDP Growth
"Within the manufacturing sector, manufacture of coke 
and refined petroleum products, and manufacture of food, beverages, and tobacco products registered notable contractions of 58.2 per cent and  
14.2 per cent, respectively, while the subsector of manufacture of textiles, wearing apparel, leather, 
and other related products registered a year-on-year 
growth of 8.1 per cent in 2022.",GDP Growth
"Meanwhile, mining and quarrying activities also reported a notable  
year-on-year contraction of 31.0 per cent in 2022.",GDP Growth
"Despite the resilient performance in the services sector during the first quarter of 2022, supported by the gradual normalisation of services sector activity following the COVID-19 pandemic, economic headwinds that intensified thereafter, hindered a 
further expansion in the services sector, resulting in 
an overall contraction of 2.0 per cent, year-on-year, in 2022.",GDP Growth
"Although the subsectors of accommodation, 
food, and beverage, as well as transportation of goods 
and passengers, witnessed a strong rebound with  
year-on-year growths of 27.0 per cent and 3.5 per cent,  
respectively, the services sector performance was hampered by notable contractions in the subsectors of wholesale and retail trade, financial services, and real estate activities during the year.in nominal terms, the Sri lankan economy 
recorded a significant expansion of 37.2 per cent 
in 2022, year-on-year, compared to that of 12.3 
per cent in the preceding year, reflecting the large 
deflator during the year.",GDP Growth
"However, the overall size 
of the economy in US dollar terms contracted to US 
dollars 77.1 billion in 2022, compared to US dollars 
88.5 billion in 2021, due to the large depreciation of the exchange rate.",Exchange Rates
"Per capita GDP also declined to US dollars 3,474 in 2022 from US dollars 3,997 in 
2021.",GDP Growth
"As per the expenditure approach, consumption 
expenditure, which accounted for 69.2 per cent of the GDP, expanded by 34.3 per cent, year-on-year, 
in 2022, compared to the expansion of 8.4 per cent 
in 2021, largely contributing to the overall nominal growth of the economy.",GDP Growth
"Accordingly, reflecting the 
sharp acceleration in inflation during the period, 
household consumption expenditure grew at a higher rate of 39.0 per cent in 2022, compared to the 9.4 per cent expansion recorded in the preceding 
year.",Inflation
"Government consumption expenditure also 
grew by 3.8 per cent in 2022, in comparison to 2.3 per cent recorded in 2021.",Fiscal Policy
"Meanwhile, investment 
expenditure grew by 28.4 per cent, year-on-year, 
during the year, compared to the 25.1 per cent growth recorded in 2021.",GDP Growth
"Accordingly, investment as a percentage of nominal GDP stood at 34.4 
per cent in 2022, compared to 36.7 per cent in 
the previous year.",Unclassified
"Reflecting the impact of notable expansion in exports, buttressed by the depreciation 
in domestic currency, and restrained imports amidst 
Figure 1.3
Investment and Savings
(as a percentage of GDP)
Sources: Department of Census and Statistics
             Central Bank of Sri LankaGross Investment Gross Domestic Savings
Gross National Savings010203040
2018 2019 2020 2021 2022
 Per cent",International Trade
"7
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1import controls and subdued aggregate demand, 
the net external demand for goods and services at 
current prices improved notably by 34.1 per cent,  
year-on-year, during 2022.",International Trade
"in 2022, unemployment levels in the economy 
declined marginally, despite the challenges 
to labour productivity, caused by fragile macroeconomic conditions.",Unemployment
"Accordingly, the net 
nominal external balance of goods and services, as 
a percentage of GDP, stood at -3.6 per cent in 2022, 
compared to -7.4 per cent in 2021. 
",International Trade
"The labour force 
participation rate (LFPR), which is the ratio of the 
labour force to the working age population, decreased 
marginally to 49.8 per cent in 2022, compared to 49.9 
per cent in 2021, with an increase in the economically inactive population during the year.",Unemployment
"The male LFPR 
recorded a decline to 70.5 per cent in 2022, from 71.0 
per cent recorded in the previous year.",Unemployment
"On a positive note, the female LFPR increased to 32.1 per cent in 
2022, compared to 31.8 per cent in 2021.",Unemployment
"Nevertheless, the annual unemployment rate declined to  
4.7 per cent in 2022, compared to 5.1 per cent in 2021, 
despite an increasing trend in the unemployment rate that was observed in the second and third quarters 
of 2022.",Unemployment
"Meanwhile, persistent disruptions to supply 
channels, caused by acute fuel shortages, intermittent power outages, as well as shortages of inputs due to 
import restrictions, hindered the optimal use of labour Table 1.3
Aggregate Demand and Savings-Investment Gap at Current Market Prices (a)(b)
ItemRs.",Unclassified
"billion Growth (%) As a percentage of GDP (%)
2021(c) 2022 2021(c) 2022 2021(c) 2022
1.",GDP Growth
"Domestic Demand 18,901.2 25,005.2 13.6 32.3 107.4 103.6
  1.1  Consumption 12,434.3 16,700.6 8.4 34.3 70.6 69.2
Private 10,769.7 14,973.3 9.4 39.0 61.2 62.0
Public 1,664.6 1,727.3 2.3 3.8 9.5 7.2
   1.2  Investment (Gross Capital Formation) 6,467.0 8,304.6 25.1 28.4 36.7 34.4
2.",GDP Growth
"Net External Demand -1,301.0 -857.5 -34.7 34.1 -7.4 -3.6
Exports of Goods and Services 2,980.3 5,187.9 23.2 74.1 16.9 21.5
Imports of Goods and Services 4,281.3 6,045.4 26.5 41.2 24.3 25.0
3.",International Trade
"Total Demand (GDP) (1+2) 17,600.2 24,147.7 12.3 37.2 100.0 100.0
4.",GDP Growth
"Domestic Savings (3-1.1) 5,165.9 7,447.2 22.9 44.2 29.4 30.8
Private 6,456.3 8,987.6 19.9 39.2 36.7 37.2
Public -1,290.4 -1,540.4 -9.3 -19.4 -7.3 -6.4
5.",Unclassified
"Net Primary Income from the Rest of the World (d) -395.5 -621.4 6.5 -57.1 -2.2 -2.6
6.",Unclassified
"Net  Current Transfers from the Rest of the World (d) 1,034.7 1,159.5 -10.1 12.1 5.9 4.8
7.",Unclassified
"National Savings (4+5+6) 5,805.1 7,985.3 17.7 37.6 33.0 33.1
8.",Unclassified
"Savings-Investment Gap
Domestic Savings-Investment (4-1.2) -1,301.0 -857.5
National Savings-Investment (7-1.2) -661.9 -319.3
9.",Unclassified
"External Current Account Balance  (2+5+6) (d)(e) -661.9 -319.3
(a) Based on the GDP estimates (base year 2015)
(b) Provisional(c) Revised(d)  Any difference with the BOP estimates is due to the time lag in compilation.",Unclassified
"(e)  Please refer to Table 5.1 of Chapter 5 of this Report for the annual estimate of the external current account balance, 
as a percentage of GDP, calculated in US$ terms, which is different from the same being calculated in domestic 
currency terms in 2022, due to the significant volatility in the exchange rate.Sources: Department of Census and Statistics
  Central Bank of Sri Lanka
Figure 1.4
Unemployment Rate
Source: Department of Census and StatisticsMale Female Total02468101214
2001
2002
2003
2004
2005
2006
2007
2008
2009
2010
2011
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022Per cent",Unemployment
"8
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1during the period under review, partially contributing 
to the slowdown in value additions to the economy.",GDP Growth
"Accordingly, labour productivity, measured in terms of Gross Value Added (GVA) (in 2015 prices) per 
hour worked, declined by 10.6 per cent, to Rs.",Unclassified
"686.57 
per hour worked in 2022, from Rs.",Unclassified
"768.08 per hour 
worked in 2021. 
consumer price inflation reached a historic 
high in September 2022 and commenced a descending path thereafter, with the realisation of the impact of tight monetary conditions and the gradual easing of supply side disruptions.",Inflation
"During the nine months ending September 2022, headline inflation was on a rapid acceleration path reflecting price pressures from multiple fronts, including price hikes in food, energy, and transport 
sectors and their spillovers, stemming from supply 
disruptions, rapid adjustments to administered prices, sharp depreciation of the Sri Lanka rupee, and aggregate demand pressures owing to the lagged impact of monetary accommodation undertaken over the past few years, among others.",Inflation
"However, the impact of significantly tight monetary policy and other demand management measures, such as prioritising essential imports, along with 
the softening of food and energy prices helped 
moderate the pace of headline inflation from the 
latter part of 2022.",Inflation
"Accordingly, year-on-year 
headline inflation, as measured by the Colombo Consumer Price Index (CCPI, 2013=100), which was recorded at 12.1 per cent at the end of 2021, accelerated to 69.8 per cent in September 2022, before moderating to 57.2 per cent by December 2022.",Inflation
"Following a similar trend, year-on-year headline inflation, based on the National Consumer Price Index (NCPI, 2013=100), was recorded at 73.7 per cent by end September 2022 and 59.2 
per cent by end 2022, compared to 14.0 per cent 
registered at end 2021.",Inflation
"The DCS revised the base 
year of both the CCPI and the NCPI from 2013 to 2021, in order to accommodate the changing 
expenditure patterns and to incorporate changes 
in goods and services available in the market.",Inflation
"The 
downward trend of headline inflation observed in the latter part of 2022 continued into 2023 as well.",Inflation
"Accordingly, year-on-year headline inflation, 
based on the CCPI (2021=100), decelerated 
further to 50.3 per cent in March 2023, although the pace of deceleration was slower than in recent months, due to the full impact of the electricity price revision being accounted for during March 2023.",Inflation
"Meanwhile, year-on-year headline inflation, 
based on the NCPI (2021=100), stood at 53.6 per 
cent by February 2023.",Inflation
"Signs of further easing of prices of certain imported goods were observed recently with the appreciation of the Sri Lanka 
rupee, and the revisions of petroleum prices in 
late March 2023 would help quicken disinflation in the ensuing months.",Exchange Rates
"Core inflation, which excludes the volatile food and energy prices, and measures the underlying demand pressures, also increased during the nine months ending September 2022 before trending downward.",Inflation
"The rise in core inflation was mainly due to the  
pent-up demand stemming from the lagged impact of monetary accommodation in recent Figure 1.5
Headline Inflation (Year-on-Year) (a)
Sources: Department of Census and Statistics
Central Bank of Sri LankaInflation - Target Band CCPI NCPI
(a) The Department of Census and Statistics (DCS) commenced publishing the NCPI and the CCPI with 
the new base year, 2021=100, from the data releases of January 2023 and February 2023, 
respectively, and discontinued the publication of the NCPI and the CCPI with the old base year, 2013=100.",Inflation
"Accordingly, data commencing January 2023 in the chart are based on the series with the new base year, 2021=100.01020304050607080
Dec-19
Mar-20
Jun-20
Sep-20
Dec-20
Mar-21
Jun-21
Sep-21
Dec-21
Mar-22
Jun-22
Sep-22
Dec-22
Mar-23Per cent",Inflation
"9
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1High inflation during 2022 was a global phenomenon.",Inflation
"Global inflation accelerated to 8.8 per cent in 2022 (IMF, 2023) reflecting the impact of the lagged effects of ultra easy monetary and fiscal support following the COVID-19 pandemic, shortages of fuel and nonfuel 
commodities, exacerbated by the Russia-Ukraine War 
and capacity constraints along with supply chain issues.",Inflation
"Affected by global as well as domestic factors, Sri Lanka also experienced inflation at unprecedented levels in 
the year 2022, recording the largest increase in price 
levels in its history since independence.",Inflation
"However, in late 2022, inflation started moderating from its peak levels, showing early signs of a disinflation process.",Inflation
"This process is expected to be supported by several factors, eventually bringing inflation down to the targeted levels in the period ahead.",Inflation
"Against this backdrop, it is important to understand the concepts of inflation, disinflation and the characteristics of past global disinflation episodes, 
and more importantly, the envisaged disinflation 
process of Sri Lanka, as various misconceptions and misinterpretations have come to the fore resulting in confusion and affecting inflation expectations of the public.",Inflation
"The Concept of Inflation
A change in inflation is sometimes misinterpreted as a corresponding change in the price level.",Inflation
The general price level represents an average of all prices in the economy as measured by a consumer price index.,Inflation
"The most commonly used measures of the level of prices 
in Sri Lanka are the Colombo Consumer Price Index 
(CCPI) and the National Consumer Price Index (NCPI).",Inflation
"In contrast, inflation is the rate at which the general price level increases over time, which is typically denoted as the percentage change in a consumer price index between two periods.",Inflation
"Therefore, a decline in inflation compared to the previous period may not necessarily 
mean a drop in the general price level, but rather a 
reduction in the pace of increase in the general price level.",Inflation
"The most commonly used measures of inflation are the 
year-on-year change and the month-on-month change in a consumer price index.",Inflation
"The month-on-month  
measure of inflation provides an assessment of price movements in the most recent month under consideration, compared to the preceding month.",Inflation
"Hence, this measure is also referred to as the ‘price BOX 1
Sri Lanka’s Disinflation Process
momentum’ or the ‘momentum of inflation’.",Inflation
"Inflation 
measured by the year-on-year change in a consumer 
price index, however, depends on two factors: the 
price movements in the current month and the price 
movements recorded one year ago.",Inflation
"The latter is 
referred to as the ‘base effect’, which is the contribution to the change in the year-on-year inflation that stems 
from the month-on-month inflation in the base period 
(i.e., one year ago).",Inflation
"The recent movements of the CCPI (Base: 2013 = 100)
1 and year-on-year inflation are 
depicted in Figure B 1.1.",Inflation
"The figure illustrates that the 
year-on-year inflation in a given month (e.g., Dec. 
2022) depends upon the consumer price index in the 
corresponding month and the value of the same 12 
months earlier (i.e., Dec. 2021).",Inflation
"Furthermore, the change in year-on-year inflation can 
be approximated by the month-on-month inflation 
in the current period (momentum effect), less the  
month-on-month inflation twelve months ago (base effect).",Inflation
"2 Hence, in order to assess the dynamics 
of inflation in Sri Lanka, especially the envisaged 
1 Compilation of the CCPI (2013=100) was discontinued by the Department of Census and 
Statistics (DCS) in February 2023 and it was replaced by the CCPI (2021=100).",Inflation
"Inflation  
(year-on-year) based on the CCPI (2021=100) is available from January 2023.",Inflation
"2	As	shown	in	the	mathematical	 representation	 below,	the	year-on-year	 inflation	(πt) depends 
on the consumer price index in a given month (Pt) and the value of the same 12 months 
earlier (Pt-12).",Inflation
"Once the mathematical representation of the year-on-year inflation is approximated using natural logarithms (ln), the difference between the year-on-year inflation in two successive 
months can be written as follows.",Inflation
"It is noteworthy that the approximation using natural logarithms is valid only when the 
variable under consideration (i.e., inflation) is a small number in percentage terms.",Inflation
