sentence,label
"Savings-Investment Gap
Domestic Savings-Investment (4-1.2) -1,301.0 -857.5
National Savings-Investment (7-1.2) -661.9 -319.3
9.",Unclassified
"External Current Account Balance  (2+5+6) (d)(e) -661.9 -319.3
(a) Based on the GDP estimates (base year 2015)
(b) Provisional(c) Revised(d)  Any difference with the BOP estimates is due to the time lag in compilation.",Unclassified
"Accordingly, labour productivity, measured in terms of Gross Value Added (GVA) (in 2015 prices) per 
hour worked, declined by 10.6 per cent, to Rs.",Unclassified
"686.57 
per hour worked in 2022, from Rs.",Unclassified
"Furthermore, 
productivity improvements can also help the disinflation 
process.",Unclassified
"Moreover, higher 
productivity, deregulation and increased globalisation 
are also weighed as possible causes for the considerable drop in global inflation from the elevated levels in the 
1970s and early 1980s (Rogoff, 2004).",Unclassified
"As a result, the price momentum relating to food inflation recorded even negative values 
in certain months.",Unclassified
"The improved supply conditions are 
expected to continue through 2023, supporting the 
efforts to bring inflation to lower levels.",Unclassified
"Moreover, the supply side factors 
remained considerable in 2022 due to numerous 
shortages and bottlenecks witnessed in domestic supply 
conditions associated with the BOP crisis.",Unclassified
"The month-
on-month increases in domestic prices in 2022 due to 
supply bottlenecks as well as tax and tariff revisions will 
influence inflation favourably in 2023 via a sizeable 
base effect (please see Figure B 1.2).",Unclassified
"External Sector developments
Sri lanka’s external sector met with severe 
bOP stresses in 2022 amidst constrained 
foreign financial inflows, depleted gross official 
reserves, and overshooting of the exchange 
rate, necessitating a myriad of policy measures to avoid further aggravation of the situation and restore external balance.",Unclassified
"The Government 
sought assistance from the IMF for a funding arrangement and announced a debt standstill as an interim measure, pending negotiations on debt restructuring with bilateral and commercial creditors during early 2022.",Unclassified
"This further 
encouraged remittances through formal channels.",Unclassified
"Figure 1.6
Balance of Payments
Source: Central Bank of Sri LankaTrade Balance Current Account Balance Overall Balance-10.3-8.0-6.0
-8.1-5.2-2.8-1.8-1.2
-3.3-1.5 -1.10.4
-2.3
-4.0-2.8
-12-10-8-6-4-202
2018 2019 2020 2021 2022US$ billion",Unclassified
"16
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1Introduction
The Sri Lankan economy has been experiencing 
frequent incidences of vulnerabilities and instability 
conditions instilled by structural macroeconomic problems coupled with global and domestic shocks.",Unclassified
"The conditions weakened drastically since 2020 with 
the onset of the pandemic, along with ad-hoc policy 
changes that exacerbated stresses in the economy.",Unclassified
"The 
programme aims at restoring macroeconomic stability at 
large.",Unclassified
"•	Legislative changes for enhanced governance 
and accountability framework: New pieces of legislation, such as the proposed Central Bank Act, Banking Act, and other revisions to existing 
legislations are expected to strengthen the 
institutional and regulatory framework relating to the economic management of the country.",Unclassified
"A new anti-corruption law is to be introduced harmonising the United Nations Convention against Corruption, 
the first such law in South Asia, providing for 
the creation of an independent Anti-Corruption Commission.",Unclassified
"A new Public Financial Management (PFM) law will be enacted to streamline the budget 
formulation process and to enhance accountability 
mechanism in public finance.",Unclassified
"•	Reforming social safety nets: Despite an increase in social safety nets related spending and beneficiaries in recent years, it has been identified that there is significant scope for improvement regarding the coverage and selection.",Unclassified
"Considering 
the issues prevailing in the existing social safety 
nets framework, the IMF-EFF arrangement has specified certain institutional reforms to improve efficiency, coverage, and targeting of social safety nets programmes.",Unclassified
"•	Restoring price stability:  The Central Bank is 
expected to restore price stability by driving inflation in a steady disinflation path to bring it back to the targeted range under the Flexible Inflation Targeting (FIT) framework through appropriate monetary policy actions.",Unclassified
"•	Strengthening financial institutions and financial system stability: The IMF is of the view that Sri Lanka’s financial system is heavily exposed to 
the public sector, moderately capitalised, and could 
face material capital and forex shortfalls following a debt restructuring.",Unclassified
"Consequently, there is a possibility that banks could face significant capital 
and forex shortfalls as a result of a sovereign debt 
restructuring.",Unclassified
"Therefore, plans are under way for the capital restoration of systemic banks following asset quality reviews to strengthen the resilience of 
the state owned banks.",Unclassified
"Meanwhile, financial sector 
supervision and the crisis management framework 
will be strengthened to make Sri Lanka’s financial 
system more robust.",Unclassified
"In addition to these specific benefits, the IMF supported programme would bring several positive spillovers to the economy through improved investor confidence, 
possible sovereign rating upgrades, and reopening 
of access to markets, among others.",Unclassified
"Considering the challenging nature of the targets set out, the authorities will have to put in a lot of effort and show 
commitment to ensuring the successful completion of the programme throughout the programme period.",Unclassified
"The severity of the current economic crisis faced by Sri Lanka highlights the importance of addressing the longstanding structural issues in a sustainable 
manner beyond the reforms agenda in the IMF 
programme through national policies which are formulated in consultation with stakeholders and free from political influences with vested interests.",Unclassified
"This has been mainly due to the lack of commitment to meeting 
the conditionalities attached to such programmes, 
especially those related to structural reforms, which required painful macroeconomic adjustments and unpopular policies that were aimed at long term welfare enhancements.",Unclassified
"Figure 1.12
Broad Money (M2b) Growth and Contribution (a)
Source: Central Bank of Sri LankaNet Foreign Assets Credit to the Private Sector
Credit to Public Corporations/SOBEs Claims on Government (net)
Other Items (net) Year-on-Year Growth of Broad Money (M2b)-20-10010203040
Dec-19
Feb-20
Apr-20
Jun-20
Aug-20
Oct-2 0
Dec-20
Feb-21
Apr-21
Jun-21
Aug-21
Oct-2 1
Dec-21
Feb-22
Apr-22
Jun-22
Aug-22
Oct-2 2
Dec-22
Feb-23Per cent
(a) The significant depreciation of the Sri Lanka rupee against the US dollar during March-May 2022     mainly contributed to the notable expansion of monetary and credit aggregates during that period.",Unclassified
"CS was later 
taken over by UBS, the largest banking institution 
in Switzerland, a deal which was fast tracked by the 
Swiss National Bank and the Swiss government.",Unclassified
"Moreover, the ongoing banking crisis has triggered 
market panic in advanced economies and resulted 
in significant losses in the share values of the US 
and European banking sectors.",Unclassified
"Nonetheless, the current distress in global banking 
institutions and the consequent contagion effects 
could become a source of significant downside risk 
to the economic outlook, and its spillovers could 
also impact the emerging market and developing 
economies.",Unclassified
"Furthermore, faster 
disinflation on account of an easing in labour market conditions in advanced economies, cooling 
wage inflation, and a sharp decline in the prices 
of goods is another possible favourable outcome.",Unclassified
"In addition, 
the ongoing distress in the global banking system and the possible spillover effects could become a major source of downside risks to the global growth outlook and financial conditions.",Unclassified
"The growth trajectory on an elevated potential in the medium term is expected to be contoured by instituting the planned growth enhancement strategies stipulated under the  
IMF-EFF arrangement.",Unclassified
"32
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1over the medium term, while greater flexibility in 
the exchange rate is also expected to spur stability in the external sector and trade competitiveness of the economy in the ensuing period.",Unclassified
"Meanwhile, the improved availability of fertiliser and fuel would contribute to easing supply-related constraints.",Unclassified
"The strengthening of the Sri Lanka rupee, if persists, could also contribute to lower price pressures in the near term.",Unclassified
"However, possible depreciation pressure on the exchange rate after such relaxation 
may need to be carefully managed as it could 
affect the general price level swiftly.",Unclassified
"Supervision and Resolution of Financial 
Institutions and the Macroprudential Authority
The Central Bank continues to be the key responsible 
apex financial institution for the regulation, licensing, registration, and supervision of financial institutions as well as the resolutions of financial institutions in order to ensure financial system stability.",Unclassified
"Moreover, the CBA 
attributes the macroprudential authority to the Central 
Bank, with the view to securing the stability of the financial system in line with the macroprudential policy.",Unclassified
"In this regard, the Central Bank will establish a Financial System Oversight Committee (FSOC), and it is expected 
to examine the macroprudential policy to mitigate 
identified buildup of systemic risks affecting the financial system, issue recommendations to relevant public authorities on corrective actions while coordinating the implementation of macroprudential policy.",Unclassified
"9  However, 
in the Sri Lankan context, costs may outweigh such 
8 Oxford Economics, (2014).",Unclassified
"However, the reduction in global prices, reduction in costs of logistics and adjustments in operational costs, and the recent improvement in the exchange rate have not been fully reflected in the imported prices of goods and services even with a reasonable lag.",Unclassified
"The updated national poverty line for 
Sri Lanka surged to Rs.",Unclassified
Whilst a larger share of employment is occupied in the informal sector and 14.3 per cent,Unclassified
"This issue is severe when global 
oil prices are high, given Sri Lanka’s persistent 
foreign currency deficiency and energy insecurity.",Unclassified
"Moreover, unlike many other countries, 
Sri Lanka’s status is much more complex.",Unclassified
"Accordingly, a part o f this adjustment was 
effected in April 2023, hence, was reflected in the balance sheet of  the particular state -owned commercial bank, which caused a reduction in credit to 
public corporations/ SOBEs and an expansion in net credit to the government (NCG).",Unclassified
